Case Number,Date,Primary Type,Location Description,Arrest,Domestic,District,Ward
JA154317,02/02/2017 12:00,OTHER OFFENSE,RESTAURANT,FALSE,FALSE,18,42
JA154333,01/28/2017 11:00:00 PM,OTHER OFFENSE,OTHER,FALSE,FALSE,4,7
JA154422,02/12/2017 18:48,THEFT,STREET,FALSE,FALSE,3,7
JA154439,02/10/2017 19:00,CRIMINAL DAMAGE,STREET,FALSE,FALSE,16,38
JA154362,02/09/2017 21:00,THEFT,STREET,FALSE,FALSE,14,26
JA154465,02/11/2017 16:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,18,27
JA154457,02/02/2017 13:35,BATTERY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,6,18
JA154535,02/06/2017 09:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,24,40
JA154486,02/10/2017 12:30,THEFT,"SCHOOL, PRIVATE, BUILDING",TRUE,FALSE,6,21
JA154475,01/24/2017 08:45:00 PM,DECEPTIVE PRACTICE,SIDEWALK,FALSE,FALSE,12,2
JA154466,02/02/2017 12:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,12,2
JA154494,02/02/2017 19:00,THEFT,STREET,FALSE,FALSE,20,40
JA154583,01/31/2017 06:00:00 AM,CRIMINAL DAMAGE,STREET,FALSE,FALSE,17,39
JA154611,02/12/2017 16:30,ASSAULT,RESIDENCE,FALSE,TRUE,9,20
JA154590,02/11/2017 14:00,ASSAULT,RESIDENCE,FALSE,TRUE,11,24
JA154575,02/08/2017 18:00,THEFT,ATHLETIC CLUB,FALSE,FALSE,12,26
JA154641,01/26/2017 01:15:00 PM,THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,9,11
JA154630,02/06/2017 19:00,OTHER OFFENSE,STREET,FALSE,FALSE,4,7
JA154596,02/07/2017 08:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,15,28
JA154531,02/11/2017 18:00,BURGLARY,VACANT LOT/LAND,FALSE,FALSE,11,28
JA154647,02/11/2017 15:00,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,25,31
JA149967,02/11/2017 09:45,CRIMINAL DAMAGE,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,16,41
JA154332,02/08/2017 06:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,1,2
JA154559,02/01/2017 09:00,BURGLARY,RESIDENCE,FALSE,FALSE,8,15
JA154694,02/11/2017 15:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,11,24
JA150211,02/11/2017 16:03,THEFT,CTA PLATFORM,FALSE,FALSE,1,42
JA154804,02/07/2017 12:00,CRIMINAL TRESPASS,OTHER,FALSE,FALSE,17,39
JA148382,02/02/2017 15:33,CRIMINAL DAMAGE,CTA TRAIN,FALSE,FALSE,1,42
JA154786,02/11/2017 15:00,MOTOR VEHICLE THEFT,HOTEL/MOTEL,FALSE,FALSE,18,42
JA154624,02/06/2017 12:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,17,33
JA154690,01/29/2017 12:30:00 PM,ASSAULT,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,14,33
JA154534,02/12/2017 17:00,THEFT,STREET,FALSE,FALSE,12,25
JA154834,02/09/2017 18:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,TRUE,TRUE,11,24
JA154828,02/11/2017 19:00,THEFT,SMALL RETAIL STORE,FALSE,FALSE,8,13
JA140067,02/03/2017 11:30,LIQUOR LAW VIOLATION,BAR OR TAVERN,TRUE,FALSE,20,40
JA154689,02/03/2017 12:30,DECEPTIVE PRACTICE,GOVERNMENT BUILDING/PROPERTY,FALSE,FALSE,14,26
JA154835,02/12/2017 17:40,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,4,7
JA151163,01/26/2017 06:00:00 PM,THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,17,30
JA154077,02/06/2017 23:00,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,19,43
JA154840,02/11/2017 23:00,ROBBERY,STREET,FALSE,FALSE,11,24
JA154713,02/11/2017 14:30,DECEPTIVE PRACTICE,BANK,FALSE,FALSE,19,44
JA154444,02/09/2017 12:00,THEFT,CONSTRUCTION SITE,FALSE,FALSE,19,43
JA154752,02/01/2017 11:00,CRIM SEXUAL ASSAULT,RESIDENCE,FALSE,FALSE,7,17
JA154500,01/27/2017 09:00:00 AM,DECEPTIVE PRACTICE,OTHER,FALSE,FALSE,19,32
JA153528,02/11/2017 08:00,DECEPTIVE PRACTICE,BANK,FALSE,FALSE,1,2
JA154929,02/08/2017 22:00,THEFT,STREET,FALSE,FALSE,8,18
JA154931,02/09/2017 03:00,DECEPTIVE PRACTICE,STREET,FALSE,FALSE,8,18
JA155016,01/30/2017 12:00:00 AM,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,TRUE,22,19
JA155010,02/11/2017 22:30,THEFT,STREET,FALSE,FALSE,8,23
JA154757,02/03/2017 03:00,THEFT,STREET,FALSE,FALSE,6,6
JA154975,02/06/2017 19:00,CRIMINAL DAMAGE,STREET,FALSE,FALSE,25,36
JA154798,02/10/2017 11:00,ASSAULT,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,22,21
JA155049,02/10/2017 22:30,ROBBERY,CTA PLATFORM,FALSE,FALSE,16,41
JA155042,02/05/2017 09:45,STALKING,"SCHOOL, PRIVATE, BUILDING",FALSE,TRUE,24,50
JA151489,02/12/2017 17:00,CRIMINAL TRESPASS,APARTMENT,FALSE,FALSE,11,28
JA154959,02/02/2017 17:06,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,16,45
JA155092,02/09/2017 21:00,THEFT,RESIDENCE,FALSE,FALSE,6,17
JA154883,02/12/2017 14:30,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,6,21
JA154785,02/09/2017 08:00,DECEPTIVE PRACTICE,BANK,FALSE,FALSE,7,17
JA155007,02/10/2017 11:00,BURGLARY,APARTMENT,FALSE,FALSE,25,26
JA155216,02/12/2017 17:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,FALSE,4,7
JA154938,02/10/2017 15:00,DECEPTIVE PRACTICE,APARTMENT,FALSE,FALSE,3,20
JA155109,02/09/2017 07:00,BATTERY,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,7,20
JA155027,02/08/2017 10:00,ASSAULT,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,3,20
JA154731,02/10/2017 16:53,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,14,26
JA154722,02/08/2017 22:00,THEFT,STREET,FALSE,FALSE,12,1
JA154737,01/24/2017 04:00:00 PM,THEFT,GROCERY FOOD STORE,FALSE,FALSE,1,2
JA155013,02/12/2017 15:00,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,6,6
JA155196,02/08/2017 16:00,BATTERY,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,25,37
JA154836,01/26/2017 12:28:00 PM,DECEPTIVE PRACTICE,OTHER,FALSE,FALSE,9,11
JA155238,02/06/2017 12:00,THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,17,38
JA155105,01/28/2017 07:42:00 PM,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,22,34
JA155219,02/11/2017 10:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,8,23
JA154888,02/10/2017 12:00,DECEPTIVE PRACTICE,SMALL RETAIL STORE,FALSE,FALSE,16,38
JA155317,02/12/2017 20:30,THEFT,STREET,FALSE,FALSE,17,39
JA155370,02/08/2017 17:00,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,4,7
JA155221,02/07/2017 20:00,CRIMINAL DAMAGE,STREET,FALSE,FALSE,1,42
JA155197,01/23/2017 07:45:00 PM,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,FALSE,11,37
JA145826,02/08/2017 02:00,MOTOR VEHICLE THEFT,RESIDENCE,FALSE,FALSE,2,4
JA155466,02/02/2017 00:00,OTHER OFFENSE,RESIDENCE,FALSE,TRUE,15,37
JA155580,01/27/2017 02:27:00 PM,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,4,7
JA155581,01/27/2017 06:00:00 PM,OFFENSE INVOLVING CHILDREN,POLICE FACILITY/VEH PARKING LOT,FALSE,TRUE,3,6
JA154601,02/10/2017 14:00,CRIM SEXUAL ASSAULT,OTHER,FALSE,FALSE,1,2
JA154604,02/05/2017 12:00,THEFT,OTHER,FALSE,FALSE,24,50
JA155616,02/12/2017 11:00,CRIMINAL TRESPASS,STREET,FALSE,FALSE,2,4
JA155574,02/11/2017 09:00,CRIM SEXUAL ASSAULT,OTHER RAILROAD PROP / TRAIN DEPOT,FALSE,FALSE,1,2
JA155567,02/09/2017 06:00,BURGLARY,APARTMENT,FALSE,FALSE,3,6
JA155619,02/11/2017 21:27,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,15,28
JA155687,02/12/2017 22:30,DECEPTIVE PRACTICE,BANK,FALSE,FALSE,4,10
JA155680,01/31/2017 05:43:00 PM,THEFT,GROCERY FOOD STORE,FALSE,FALSE,19,44
JA155694,01/31/2017 07:42:00 PM,THEFT,GROCERY FOOD STORE,FALSE,FALSE,19,44
JA155788,01/28/2017 12:00:00 PM,DECEPTIVE PRACTICE,OTHER,FALSE,FALSE,19,44
JA155805,02/07/2017 11:00,CRIMINAL DAMAGE,APARTMENT,FALSE,FALSE,25,37
JA155803,02/09/2017 12:00,THEFT,"SCHOOL, PRIVATE, GROUNDS",FALSE,FALSE,1,42
JA155881,02/01/2017 12:00,CRIMINAL DAMAGE,STREET,FALSE,FALSE,8,16
JA155889,02/12/2017 10:00,BURGLARY,VACANT LOT/LAND,FALSE,FALSE,4,8
JA155885,01/28/2017 04:00:00 PM,BURGLARY,RESIDENCE,FALSE,FALSE,3,6
JA155935,02/09/2017 20:00,THEFT,APARTMENT,FALSE,FALSE,15,37
JA155910,02/08/2017 00:00,DECEPTIVE PRACTICE,APARTMENT,FALSE,FALSE,15,28
JA155820,02/01/2017 08:00,BURGLARY,APARTMENT,FALSE,FALSE,5,34
JA156011,02/03/2017 12:42,CRIMINAL TRESPASS,APARTMENT,FALSE,FALSE,20,40
JA156049,02/11/2017 20:17,THEFT,SMALL RETAIL STORE,FALSE,FALSE,18,27
JA156056,01/31/2017 07:00:00 AM,DECEPTIVE PRACTICE,SMALL RETAIL STORE,FALSE,FALSE,1,2
JA155965,02/09/2017 12:00,THEFT,RESIDENCE,FALSE,FALSE,11,24
JA156019,02/10/2017 15:42,DECEPTIVE PRACTICE,CURRENCY EXCHANGE,FALSE,FALSE,9,14
JA151595,02/13/2017 12:07:00 AM,CRIMINAL DAMAGE,RESIDENCE,FALSE,FALSE,25,37
JA151606,02/13/2017 12:20:00 AM,THEFT,APARTMENT,FALSE,TRUE,25,37
JA151619,02/13/2017 12:40:00 AM,ASSAULT,RESIDENCE,FALSE,TRUE,22,21
JA151635,02/13/2017 01:00:00 AM,THEFT,TAXICAB,FALSE,FALSE,15,37
JA151630,02/13/2017 01:33:00 AM,CRIMINAL DAMAGE,STREET,FALSE,TRUE,24,49
JA151633,02/13/2017 01:35:00 AM,BATTERY,STREET,FALSE,FALSE,5,34
JA151601,02/13/2017 12:10:00 AM,BATTERY,STREET,TRUE,TRUE,18,42
JA151651,02/13/2017 02:26:00 AM,OTHER OFFENSE,STREET,FALSE,FALSE,25,31
JA151629,02/13/2017 01:30:00 AM,ASSAULT,RESTAURANT,TRUE,FALSE,18,42
JA151626,02/13/2017 12:45:00 AM,BATTERY,APARTMENT,FALSE,TRUE,25,30
JA151610,02/13/2017 12:30:00 AM,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,18,42
JA151622,02/13/2017 01:20:00 AM,BATTERY,RESIDENCE,TRUE,TRUE,7,16
JA151657,02/13/2017 02:20:00 AM,BATTERY,BAR OR TAVERN,FALSE,FALSE,18,42
JA151640,02/13/2017 01:15:00 AM,BATTERY,STREET,TRUE,FALSE,9,12
JA151639,02/13/2017 02:00:00 AM,OTHER OFFENSE,STREET,FALSE,FALSE,11,28
JA156069,02/06/2017 15:30,DECEPTIVE PRACTICE,APARTMENT,FALSE,FALSE,6,8
JA156100,02/10/2017 09:00,THEFT,APARTMENT,FALSE,FALSE,12,1
JA156106,02/09/2017 00:00,BURGLARY,RESIDENCE,FALSE,FALSE,6,6
JA155941,01/25/2017 12:00:00 PM,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,16,38
JA156166,02/09/2017 10:59,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,17,38
JA156149,02/02/2017 18:00,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,5,9
JA156213,02/11/2017 00:00,DECEPTIVE PRACTICE,OTHER,FALSE,FALSE,10,25
JA155903,02/07/2017 10:15,ASSAULT,OTHER,FALSE,FALSE,1,2
JA156078,02/10/2017 01:56,CRIMINAL TRESPASS,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1,2
JA156352,02/02/2017 12:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,2,3
JA156254,01/23/2017 05:40:00 PM,DECEPTIVE PRACTICE,,FALSE,FALSE,1,42
JA148374,01/28/2017 11:37:00 AM,CRIMINAL DAMAGE,CTA TRAIN,FALSE,FALSE,1,42
JA151667,02/13/2017 03:15:00 AM,CRIMINAL DAMAGE,RESTAURANT,TRUE,FALSE,25,29
JA156316,01/22/2017 05:55:00 PM,DECEPTIVE PRACTICE,,FALSE,FALSE,1,42
JA156291,02/01/2017 22:00,THEFT,STREET,FALSE,FALSE,18,43
JA156304,02/08/2017 20:26,DECEPTIVE PRACTICE,,FALSE,FALSE,18,42
JA156297,02/11/2017 18:50,THEFT,STREET,FALSE,FALSE,12,27
JA156331,02/11/2017 22:00,CRIMINAL DAMAGE,STREET,FALSE,FALSE,18,43
JA156438,02/11/2017 20:00,BATTERY,APARTMENT,FALSE,TRUE,25,36
JA156405,02/12/2017 12:00,OTHER OFFENSE,APARTMENT,FALSE,FALSE,20,48
JA151405,02/12/2017 19:20,OTHER OFFENSE,STREET,TRUE,FALSE,11,24
JA156663,02/05/2017 08:00,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,4,10
JA156717,02/09/2017 06:00,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,9,16
JA156736,02/12/2017 15:00,CRIMINAL DAMAGE,RESIDENCE-GARAGE,FALSE,FALSE,17,33
JA155749,02/12/2017 01:35,OTHER OFFENSE,OTHER,FALSE,FALSE,7,15
JA155848,01/21/2017 07:35:00 PM,OTHER OFFENSE,RESTAURANT,FALSE,FALSE,4,7
JA156867,01/25/2017 10:39:00 PM,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,18,43
JA156868,02/10/2017 09:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,24,49
JA156919,02/06/2017 12:00,DECEPTIVE PRACTICE,APARTMENT,FALSE,FALSE,19,46
JA156884,02/03/2017 12:00,BURGLARY,RESIDENCE,FALSE,FALSE,11,28
JA156963,02/02/2017 17:40,THEFT,SMALL RETAIL STORE,FALSE,FALSE,18,42
JA156971,02/01/2017 06:13,OTHER OFFENSE,OTHER,FALSE,FALSE,14,26
JA156926,02/07/2017 19:00,THEFT,STREET,FALSE,FALSE,4,10
JA148364,01/07/2017 10:30,CRIMINAL DAMAGE,CTA TRAIN,FALSE,FALSE,18,43
JA156979,02/09/2017 13:11,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,24,50
JA154576,01/29/2017 04:55:00 PM,DECEPTIVE PRACTICE,AIRPORT VENDING ESTABLISHMENT,FALSE,FALSE,16,41
JA154948,02/09/2017 20:16,THEFT,WAREHOUSE,FALSE,FALSE,16,41
JA156994,02/09/2017 00:00,DECEPTIVE PRACTICE,BANK,FALSE,FALSE,9,11
JA157091,02/12/2017 23:45,THEFT,APARTMENT,FALSE,FALSE,10,24
JA157118,02/07/2017 18:00,CRIMINAL DAMAGE,STREET,FALSE,FALSE,24,40
JA156048,02/09/2017 16:44,DECEPTIVE PRACTICE,OTHER,FALSE,FALSE,6,21
JA157132,02/11/2017 02:00,THEFT,GAS STATION,FALSE,FALSE,11,24
JA157165,02/09/2017 17:00,CRIMINAL DAMAGE,"SCHOOL, PRIVATE, BUILDING",FALSE,FALSE,9,14
JA157218,02/09/2017 00:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,18,42
JA157272,02/06/2017 07:00,THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,14,32
JA157171,02/12/2017 23:00,THEFT,STREET,FALSE,FALSE,14,26
JA157320,02/06/2017 12:00,THEFT,STREET,FALSE,FALSE,3,5
JA157389,02/10/2017 09:00,BURGLARY,RESIDENCE-GARAGE,FALSE,FALSE,19,32
JA157226,02/09/2017 15:30,DECEPTIVE PRACTICE,BANK,FALSE,FALSE,4,8
JA157254,02/04/2017 17:00,DECEPTIVE PRACTICE,OTHER,FALSE,FALSE,6,6
JA157253,02/04/2017 17:00,DECEPTIVE PRACTICE,OTHER,FALSE,FALSE,6,6
JA157275,02/11/2017 16:00,DECEPTIVE PRACTICE,CTA TRAIN,FALSE,FALSE,1,42
JA157032,02/04/2017 22:30,MOTOR VEHICLE THEFT,STREET,TRUE,FALSE,12,27
JA157456,02/12/2017 18:30,THEFT,STREET,FALSE,FALSE,2,5
JA157454,02/10/2017 19:30,CRIMINAL DAMAGE,STREET,FALSE,FALSE,3,7
JA157191,02/11/2017 08:00,THEFT,APARTMENT,FALSE,FALSE,9,11
JA157589,02/11/2017 12:00,DECEPTIVE PRACTICE,ATM (AUTOMATIC TELLER MACHINE),FALSE,TRUE,3,5
JA157608,02/11/2017 10:30,OTHER OFFENSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,TRUE,2,3
JA157732,02/12/2017 13:17,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,8,13
JA154656,02/06/2017 15:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,14,32
JA158262,02/10/2017 12:00,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,11,27
JA158242,02/07/2017 12:30,ASSAULT,RESIDENCE,FALSE,FALSE,2,3
JA158260,02/11/2017 02:30,ROBBERY,SIDEWALK,FALSE,FALSE,19,44
JA158366,02/11/2017 15:00,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,12,25
JA158483,02/11/2017 16:00,BURGLARY,RESIDENCE,FALSE,FALSE,22,34
JA158369,02/10/2017 11:00,BATTERY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,16,45
JA158697,01/31/2017 02:30:00 PM,THEFT,RESIDENCE,FALSE,FALSE,24,40
JA158567,02/11/2017 15:00,THEFT,OTHER,FALSE,FALSE,18,42
JA158704,02/08/2017 06:30,THEFT,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,22,34
JA158693,01/21/2017 10:00:00 AM,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,16,45
JA158710,02/11/2017 02:30,CRIMINAL DAMAGE,STREET,FALSE,FALSE,7,15
JA158591,02/11/2017 09:30,THEFT,STREET,FALSE,FALSE,8,18
JA158758,01/31/2017 08:00:00 AM,THEFT,APARTMENT,FALSE,FALSE,7,16
JA158824,02/12/2017 08:00,THEFT,STREET,FALSE,FALSE,17,50
JA158838,02/07/2017 14:00,BURGLARY,RESIDENCE,FALSE,FALSE,11,24
JA158870,02/07/2017 18:37,DECEPTIVE PRACTICE,DEPARTMENT STORE,FALSE,FALSE,12,2
JA158975,02/03/2017 07:29,OTHER OFFENSE,RESIDENCE,FALSE,TRUE,2,4
JA120028,02/09/2017 07:00,HOMICIDE,HOUSE,FALSE,FALSE,14,26
JA151632,02/13/2017 01:50:00 AM,OTHER OFFENSE,STREET,FALSE,FALSE,11,28
JA151634,02/13/2017 01:30:00 AM,BATTERY,APARTMENT,FALSE,FALSE,11,27
JA151647,02/13/2017 01:19:00 AM,OTHER OFFENSE,STREET,TRUE,FALSE,5,34
JA151642,02/13/2017 12:35:00 AM,WEAPONS VIOLATION,STREET,TRUE,FALSE,5,34
JA151654,02/13/2017 01:40:00 AM,SEX OFFENSE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,8,14
JA151615,02/13/2017 12:40:00 AM,ASSAULT,RESIDENTIAL YARD (FRONT/BACK),FALSE,TRUE,6,21
JA151599,02/13/2017 12:05:00 AM,BATTERY,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,8,15
JA151663,02/13/2017 03:01:00 AM,ASSAULT,RESIDENCE,FALSE,TRUE,10,24
JA151674,02/13/2017 03:15:00 AM,CRIMINAL DAMAGE,APARTMENT,FALSE,FALSE,16,45
JA151672,02/13/2017 03:08:00 AM,BATTERY,APARTMENT,FALSE,TRUE,17,31
JA151650,02/13/2017 02:13:00 AM,BATTERY,RESIDENCE,FALSE,TRUE,6,8
JA151662,02/13/2017 02:55:00 AM,THEFT,HOTEL/MOTEL,FALSE,FALSE,18,42
JA151638,02/13/2017 01:10:00 AM,WEAPONS VIOLATION,STREET,TRUE,FALSE,9,12
JA151691,02/13/2017 04:30:00 AM,CRIMINAL DAMAGE,RESIDENCE,FALSE,FALSE,8,16
JA151685,02/13/2017 03:50:00 AM,BATTERY,RESIDENCE,FALSE,TRUE,11,27
JA151660,02/13/2017 02:19:00 AM,BATTERY,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,8,23
JA159520,02/13/2017 11:30:00 PM,BATTERY,RESIDENCE PORCH/HALLWAY,FALSE,TRUE,2,3
JA151681,02/13/2017 03:59:00 AM,CRIMINAL DAMAGE,APARTMENT,FALSE,FALSE,11,26
JA151644,02/13/2017 01:50:00 AM,ASSAULT,STREET,TRUE,FALSE,4,7
JA151641,02/13/2017 01:55:00 AM,THEFT,CONVENIENCE STORE,FALSE,FALSE,19,46
JA151687,02/13/2017 03:00:00 AM,THEFT,CTA TRAIN,FALSE,FALSE,20,48
JA151683,02/13/2017 03:22:00 AM,ASSAULT,SIDEWALK,FALSE,FALSE,24,49
JA151623,02/13/2017 01:00:00 AM,THEFT,APARTMENT,FALSE,FALSE,24,50
JA151673,02/13/2017 03:31:00 AM,BATTERY,RESIDENCE,FALSE,TRUE,5,34
JA151671,02/13/2017 03:25:00 AM,DECEPTIVE PRACTICE,RESTAURANT,FALSE,FALSE,19,47
JA151675,02/13/2017 03:35:00 AM,ROBBERY,STREET,FALSE,FALSE,5,9
JA151686,02/13/2017 04:10:00 AM,MOTOR VEHICLE THEFT,VEHICLE NON-COMMERCIAL,FALSE,TRUE,14,32
JA151690,02/13/2017 02:33:00 AM,OFFENSE INVOLVING CHILDREN,STREET,TRUE,FALSE,10,22
JA151693,02/13/2017 04:42:00 AM,CRIMINAL DAMAGE,RESIDENCE,FALSE,TRUE,5,34
JA151704,02/13/2017 05:00:00 AM,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,8,13
JA151702,02/13/2017 05:37:00 AM,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,8,23
JA151631,02/13/2017 01:15:00 AM,CRIMINAL DAMAGE,RESIDENCE,TRUE,TRUE,9,11
JA151684,02/13/2017 03:50:00 AM,BATTERY,SMALL RETAIL STORE,FALSE,FALSE,1,42
JA151621,02/13/2017 12:55:00 AM,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,7,6
JA151737,02/13/2017 06:21:00 AM,CRIMINAL TRESPASS,STREET,TRUE,FALSE,17,39
JA151762,02/13/2017 05:50:00 AM,THEFT,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,18,42
JA151718,02/13/2017 06:10:00 AM,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,8,16
JA151750,02/13/2017 07:15:00 AM,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,11,28
JA151765,02/13/2017 03:00:00 AM,THEFT,STREET,FALSE,FALSE,3,20
JA151777,02/13/2017 07:20:00 AM,CRIMINAL DAMAGE,STREET,FALSE,FALSE,11,24
JA151746,02/13/2017 06:45:00 AM,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,8,13
JA151789,02/13/2017 06:55:00 AM,THEFT,STREET,FALSE,FALSE,6,21
JA151715,02/13/2017 07:00:00 AM,ASSAULT,APARTMENT,FALSE,TRUE,6,17
JA151798,02/13/2017 07:00:00 AM,THEFT,STREET,FALSE,FALSE,8,15
JA151689,02/13/2017 04:30:00 AM,CRIMINAL DAMAGE,RESIDENCE,FALSE,FALSE,7,15
JA151804,02/13/2017 07:00:00 AM,ASSAULT,APARTMENT,FALSE,TRUE,25,31
JA151763,02/13/2017 07:25:00 AM,BATTERY,RESIDENCE,FALSE,FALSE,6,18
JA151820,02/13/2017 07:35:00 AM,ASSAULT,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,10,25
JA151783,02/13/2017 07:30:00 AM,THEFT,DEPARTMENT STORE,TRUE,FALSE,1,42
JA151871,02/13/2017 07:20:00 AM,THEFT,OTHER,FALSE,FALSE,1,42
JA151720,02/13/2017 06:40:00 AM,BATTERY,OTHER RAILROAD PROP / TRAIN DEPOT,FALSE,FALSE,1,42
JA151872,02/13/2017 08:53:00 AM,DECEPTIVE PRACTICE,RESTAURANT,FALSE,FALSE,1,42
JA151897,02/13/2017 06:30:00 AM,ROBBERY,SIDEWALK,FALSE,FALSE,6,6
JA151843,02/13/2017 08:20:00 AM,OTHER OFFENSE,SIDEWALK,FALSE,FALSE,6,8
JA151882,02/13/2017 08:45:00 AM,ASSAULT,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,7,16
JA151698,02/13/2017 05:12:00 AM,THEFT,STREET,FALSE,FALSE,24,48
JA151803,02/13/2017 12:30:00 AM,MOTOR VEHICLE THEFT,STREET,TRUE,FALSE,12,1
JA151748,02/13/2017 07:17:00 AM,OFFENSE INVOLVING CHILDREN,RESIDENTIAL YARD (FRONT/BACK),FALSE,TRUE,11,27
JA151738,02/13/2017 06:30:00 AM,MOTOR VEHICLE THEFT,STREET,TRUE,FALSE,7,17
JA151856,02/13/2017 09:35:00 AM,ROBBERY,CTA BUS STOP,FALSE,FALSE,6,17
JA151890,02/13/2017 04:30:00 AM,THEFT,STREET,FALSE,FALSE,5,9
JA151706,02/13/2017 05:12:00 AM,THEFT,STREET,FALSE,FALSE,24,48
JA151756,02/13/2017 07:07:00 AM,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,8,18
JA151727,02/13/2017 06:57:00 AM,CRIMINAL DAMAGE,APARTMENT,FALSE,FALSE,15,37
JA151728,02/13/2017 07:00:00 AM,MOTOR VEHICLE THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,8,13
JA151904,02/13/2017 10:20:00 AM,BATTERY,STREET,FALSE,FALSE,19,46
JA151717,02/13/2017 06:27:00 AM,CRIMINAL TRESPASS,APARTMENT,FALSE,TRUE,25,37
JA151893,02/13/2017 12:01:00 AM,CRIMINAL DAMAGE,RESIDENCE-GARAGE,FALSE,FALSE,25,31
JA151782,02/13/2017 07:00:00 AM,BATTERY,APARTMENT,TRUE,TRUE,3,5
JA151891,02/13/2017 04:30:00 AM,THEFT,STREET,FALSE,FALSE,5,9
JA151938,02/13/2017 07:45:00 AM,THEFT,GROCERY FOOD STORE,FALSE,FALSE,2,4
JA151822,02/13/2017 08:38:00 AM,THEFT,GROCERY FOOD STORE,FALSE,FALSE,20,47
