Case Number,Date,Primary Type,Location Description,Arrest,Domestic,District,Ward
JA140224,01/23/2017 12:00:00 PM,DECEPTIVE PRACTICE,OTHER,FALSE,FALSE,19,47
JA140154,02/03/2017 09:30,BATTERY,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,8,18
JA139969,02/02/2017 18:30,BATTERY,RESIDENCE,FALSE,FALSE,10,24
JA139947,02/02/2017 21:00,THEFT,APARTMENT,FALSE,FALSE,11,28
JA140147,02/03/2017 11:25,ROBBERY,ALLEY,FALSE,FALSE,12,2
JA140143,02/03/2017 10:00,NARCOTICS,APARTMENT,TRUE,FALSE,6,21
JA140180,02/03/2017 11:38,THEFT,GROCERY FOOD STORE,TRUE,FALSE,9,11
JA140220,01/17/2017 05:30:00 PM,THEFT,APARTMENT,FALSE,FALSE,2,4
JA140194,02/03/2017 11:50,BATTERY,APARTMENT,TRUE,TRUE,9,3
JA140248,02/03/2017 00:00,OTHER OFFENSE,OTHER,FALSE,TRUE,24,49
JA140269,02/03/2017 12:10,THEFT,SMALL RETAIL STORE,TRUE,FALSE,1,2
JA140279,02/03/2017 11:30,BURGLARY,RESIDENCE,FALSE,FALSE,22,21
JA131864,01/27/2017 12:12:00 PM,OTHER OFFENSE,GROCERY FOOD STORE,FALSE,FALSE,10,24
JA140073,02/03/2017 09:25,ASSAULT,RESIDENCE,FALSE,FALSE,4,7
JA140197,02/01/2017 22:00,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,5,34
JA140265,02/03/2017 12:13,THEFT,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,8,18
JA140256,02/03/2017 12:15,ASSAULT,RESIDENCE,FALSE,FALSE,5,34
JA140110,02/02/2017 13:00,THEFT,STREET,FALSE,FALSE,6,8
JA140183,02/03/2017 01:30,MOTOR VEHICLE THEFT,RESIDENCE,FALSE,FALSE,5,34
JA140255,02/03/2017 12:30,BATTERY,APARTMENT,FALSE,TRUE,25,36
JA140235,02/03/2017 12:30,CRIMINAL DAMAGE,RESIDENCE,FALSE,FALSE,11,27
JA140193,02/01/2017 14:50,CRIM SEXUAL ASSAULT,"SCHOOL, PUBLIC, GROUNDS",FALSE,TRUE,4,8
JA140077,02/03/2017 10:10,ASSAULT,ALLEY,TRUE,TRUE,7,15
JA139930,02/03/2017 06:52,ASSAULT,RESIDENCE-GARAGE,FALSE,FALSE,11,24
JA140289,02/03/2017 13:00,BATTERY,RESIDENCE,FALSE,TRUE,7,17
JA140242,02/03/2017 11:40,THEFT,OTHER,FALSE,FALSE,24,49
JA140286,02/03/2017 12:50,OTHER OFFENSE,RESIDENCE,FALSE,TRUE,7,20
JA140234,02/03/2017 12:30,ASSAULT,APARTMENT,FALSE,FALSE,11,24
JA140306,02/03/2017 12:30,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,3,5
JA140212,02/03/2017 00:15,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,11,27
